Initial ,Date,course_id,time(m),Summary
RP,2/7/2024,ECON-111-02,50,Class - Review day for exam on Friday
RP,2/7/2024,MATH-118-01,50,Class - Worked on sequences and series
RP,2/7/2024,MATH-205-03,70,Class - Finished Chapter 3 and started chapter 4
RP,2/7/2024,MATH-205-03,65,Finished homework assignment 3
RP,2/8/2024,BUSA-103-01,75,Class - continued working with excel
RP,2/8/2024,DS-160-01,70,Class - Had a quest speaker talk about Data Science
RP,2/8/2024,DS-160-01,15,Studied for exam 
RP,2/8/2024,MATH-118-01,40,Worked on practice problems for 11.1
RP,2/8/2024,ECON-111-02,50,Class - Had exam 1
RP,2/8/2024,MATH-118-01,50,Class - learned about series
RP,2/10/2024,BUSA-103-01,33,Completed excel practice 3
RP,2/11/2024,MATH-118-01,210,"Completed practice problems for 11.1, 11.2 and ch 5 review questions"
RP,2/12/2024,MATH-205-03,30,Studied for group part of exam
RP,2/12/2024,MATH-118-01,50,Class - Review for exam tommorow
RP,2/12/2024,MATH-205-03,70,Class - took group part of exam
RP,2/13/2024,BUSA-103-01,75,Class - continued working with excel
RP,2/13/2024,DS-160-01,75,Class - started learning about seaborn
RP,2/13/2024,MATH-118-01,120,Class - Had first exam
RP,2/14/2024,ECON-111-02,50,Class - Got exam back and had time to review it
RP,2/14/2024,BUSA-103-01,20,Started work on partner presenation
RP,2/14/2024,MATH-118-01,50,Class - learned about improper integrals
RP,2/14/2024,MATH-205-03,40,Class - took individual part of the exam
RP,2/14/2024,MATH-118-01,35,Worked on practice problems for 7.8
